Player,MP,PTS,TRB,AST,ROY
Ja Morant\moranja01,31,17.8,3.9,7.3,Y
Luka Dončić\doncilu01,32.2,21.2,7.8,6,Y
Ben Simmons\simmobe01,33.7,15.8,8.1,8.2,Y
Malcolm Brogdon\brogdma01,26.4,10.2,2.8,4.2,Y
Karl-Anthony Towns\townska01,32,18.3,10.5,2,Y
Andrew Wiggins\wiggian01,36.2,16.9,4.6,2.1,Y
Michael Carter-Williams\cartemi01,34.5,16.7,6.2,6.3,Y
Damian Lillard\lillada01,38.6,19,3.1,6.5,Y
Kyrie Irving\irvinky01,30.5,18.5,3.7,5.4,Y
Blake Griffin\griffbl01,38,22.5,12.1,3.8,Y
Tyreke Evans\evansty01,37.2,20.1,5.3,5.8,Y
Derrick Rose\rosede01,37,16.8,3.9,6.3,Y
Kevin Durant\duranke01,34.6,20.3,4.4,2.4,Y
Brandon Roy\roybr01,35.4,16.8,4.4,4,Y
Chris Paul\paulch01,36,16.1,5.1,7.8,Y
Emeka Okafor\okafoem01,35.6,15.1,10.9,0.9,Y
LeBron James\jamesle01,39.5,20.9,5.5,5.9,Y
Amar'e Stoudemire\stoudam01,31.3,13.5,8.8,1,Y
Pau Gasol\gasolpa01,36.7,17.6,8.9,2.7,Y
Mike Miller\millemi01,29.1,11.9,4,1.7,Y
Steve Francis (Tie)\francst01,36.1,18,5.3,6.6,Y
Elton Brand (Tie)\brandel01,37,20.1,10,1.9,Y
Vince Carter\cartevi01,35.2,18.3,5.7,3,Y
Tim Duncan\duncati01,39.1,21.1,11.9,2.7,Y
Allen Iverson\iversal01,40.1,23.5,4.1,7.5,Y
Damon Stoudamire\stoudda01,40.9,19,4,9.3,Y
Jason Kidd (Tie)\kiddja01,33.8,11.7,5.4,7.7,Y
Grant Hill (Tie)\hillgr01,38.3,19.9,6.4,5,Y
Chris Webber\webbech01,32.1,17.5,9.1,3.6,Y
Shaquille O'Neal\onealsh01,37.9,23.4,13.9,1.9,Y
Larry Johnson\johnsla02,37.2,19.2,11,3.6,Y
Derrick Coleman\colemde01,35.2,18.4,10.3,2.2,Y
David Robinson\robinda01,36.6,24.3,12,2,Y
Mitch Richmond\richmmi01,34.4,22,5.9,4.2,Y
Mark Jackson\jacksma01,39.6,13.6,4.8,10.6,Y
Chuck Person\persoch01,36,18.8,8.3,3.6,Y
Patrick Ewing\ewingpa01,35.4,20,9,2,Y
Michael Jordan\jordami01,38.3,28.2,6.5,5.9,Y
Ralph Sampson\sampsra01,32.8,21,11.1,2,Y
Terry Cummings\cummite01,36.2,23.7,10.6,2.5,Y
Buck Williams\willibu01,34.5,15.5,12.3,1.3,Y
Darrell Griffith\griffda01,35.4,20.6,3.6,2.4,Y
Larry Bird\birdla01,36,21.3,10.4,4.5,Y
Phil Ford\fordph01,34.5,15.9,2.3,8.6,Y
Walter Davis\daviswa03,32,24.2,6,3.4,Y
Adrian Dantley\dantlad01,36.6,20.3,7.6,1.9,Y
Alvan Adams\adamsal01,33.2,19,9.1,5.6,Y
Jamaal Wilkes\wilkeja01,30.7,14.2,8.2,2.2,Y
Ernie DiGregorio\digreer01,35.9,15.2,2.7,8.2,Y
Bob McAdoo\mcadobo01,32,18,9.1,1.7,Y
Sidney Wicks\wickssi01,39.6,24.5,11.5,4.3,Y
Geoff Petrie (Tie)\petrige01,37,24.8,3.4,4.8,Y
Dave Cowens (Tie)\cowenda01,38,17,15,2.8,Y
Kareem Abdul-Jabbar\abdulka01,43.1,28.8,14.5,4.1,Y
Wes Unseld\unselwe01,36.2,13.8,18.2,2.6,Y
Earl Monroe\monroea01,36.7,24.3,5.7,4.3,Y
Dave Bing\bingda01,34.5,20,4.5,4.1,Y
Rick Barry\barryri01,37.4,25.7,10.6,2.2,Y
Willis Reed\reedwi01,38,19.5,14.7,1.7,Y
Jerry Lucas\lucasje01,41.4,17.7,17.4,2.6,Y
Terry Dischinger\dischte01,40.2,25.5,8,3.1,Y
Walt Bellamy\bellawa01,42.3,31.6,19,2.7,Y
Oscar Robertson\roberos01,42.7,30.5,10.1,9.7,Y
Wilt Chamberlain\chambwi01,46.4,37.6,27,2.3,Y
Elgin Baylor\bayloel01,40.8,24.9,15,4.1,Y
Woody Sauldsberry\sauldwo01,33.5,12.8,10.3,0.8,Y
Tom Heinsohn\heinsto01,29.9,16.2,9.8,1.6,Y
Maurice Stokes\stokema01,34.7,16.8,16.3,4.9,Y
Bob Pettit\pettibo01,36.9,20.4,13.8,3.2,Y
Ray Felix\felixra01,37.1,17.6,13.3,1.1,Y
Monk Meineke\meinemo01,33.1,10.7,6.9,2.2,Y
Mel Hutchins (Tie) *\hutchme01,39.7,9.2,13.3,2.9,Y
Bill Tosheff (Tie) *\toshebi01,31.6,9.4,3.3,3.4,Y
Paul Arizin *\arizipa01,36.01780822,17.2,9.8,2.1,Y
Alex Groza *\grozaal01,36.08654532,23.4,8.810810811,2.5,Y
Howie Shannon *\shannho01,36.13978566,13.4,8.877173119,2.3,Y
Paul Hoffman *\hoffmpa01,36.17320739,10.5,8.891729513,0.6,Y
Jaylen Adams\adamsja01,10.9,2.7,1.5,1.6,N
Deng Adel\adelde01,10.2,1.7,1,0.3,N
DeVaughn Akoon-Purcell\akoonde01,3.1,1,0.6,0.9,N
