Player,Age,Yrs,MP,PTS,TRB,AST
Precious Achiuwa\achiupr01,21,1,14,6.1,4,0.6
Ty-Shon Alexander\alexaty01,22,1,2.7,0,0.3,0.3
Cole Anthony\anthoco01,20,1,26.7,11,4.4,3.8
Deni Avdija\avdijde01,20,1,21.5,5.9,4.7,1.3
Udoka Azubuike\azubuud01,21,1,4.1,1,1.1,0
LaMelo Ball\ballla01,19,1,28.9,15.8,6,6.3
Desmond Bane\banede01,22,1,22.8,9.6,2.9,1.4
Saddiq Bey\beysa01,21,1,22.9,9.9,3.9,1.1
Tyler Bey\beyty01,22,1,3.3,1.5,0.8,0
Keljin Blevins\blevike01,25,1,5.2,0.4,0.2,0.4
Facundo Campazzo\campafa01,29,1,16.3,5.5,1,2.1
Vernon Carey\careyve01,19,1,2,1,1,0.3
Devon Dotson\dotsode01,21,1,10,4,1,0
Anthony Edwards\edwaran01,19,1,29.1,14.9,4,2.5
CJ Elleby\ellebcj01,20,1,8.1,3,1.1,0.2
Malachi Flynn\flynnma01,22,1,8.3,2.2,0.7,1.1
Trent Forrest\forretr01,22,1,2.9,0.3,0.3,0.6
Anthony Gill\gillan01,28,1,5.6,0.8,1.6,0.3
Josh Green\greenjo02,20,1,12.5,2.5,2.3,0.6
Ashton Hagans\haganas01,21,1,2,0,0,0
Tyrese Haliburton\halibty01,20,1,30.1,13.2,3.6,5.4
Josh Hall\halljo01,20,1,7.3,1.7,1.3,1
R.J. Hampton\hamptrj01,19,1,9.2,2.5,2,0.5
Jalen Harris\harrija01,22,1,2,0,0.5,0
Killian Hayes\hayeski01,19,1,21.1,4.6,1.1,3.6
Nate Hinton\hintona01,21,1,3.2,1.3,0,0
Markus Howard\howarma02,21,1,3.2,0.9,0.3,0.4
Elijah Hughes\hugheel01,22,1,4.5,2.7,0.7,0.5
Isaiah Joe\joeis01,21,1,12,4.3,1.2,0.8
Mason Jones\jonesma05,22,1,11.1,5.5,2.1,1.3
Tre Jones\jonestr01,21,1,3.6,2,0.3,0.3
Nathan Knight\knighna01,23,1,5.8,2.8,1.5,0.1
Saben Lee\leesa01,21,1,15.9,7.1,1.5,2.3
Kira Lewis\lewiski01,19,1,13,5.2,0.8,1.8
Théo Maledon\maledth01,19,1,25.7,7.8,3,3.3
Karim Mané\maneka01,20,1,9.3,1.2,1.7,0.2
Nico Mannion\mannini01,19,1,9.6,2.6,1.7,2.6
Naji Marshall\marshna01,23,1,2.7,0.3,0.7,0.3
Kenyon Martin\martike04,20,1,9.9,3.3,2.7,0.6
Dakota Mathias\mathida01,25,1,15.4,6,0.9,1.6
Tyrese Maxey\maxeyty01,20,1,16.2,8,1.9,1.8
Skylar Mays\mayssk01,23,1,8.3,3.9,0.8,1.1
Jaden McDaniels\mcdanja02,20,1,19.1,5.1,3.4,1
Sean McDermott\mcderse01,24,1,15.8,3.9,1.5,0.5
Sam Merrill\merrisa01,24,1,5.9,1.5,1.1,0.8
Aaron Nesmith\nesmiaa01,21,1,15.6,4.2,2.4,0.4
Zeke Nnaji\nnajize01,20,1,10.8,3.6,1.4,0.1
Jordan Nwora\nworajo01,22,1,8.2,5.1,1.5,0
Chuma Okeke\okekech01,22,1,21.9,4.4,3.5,2
Onyeka Okongwu\okongon01,20,1,9.9,3.2,2.4,0.3
Isaac Okoro\okorois01,20,1,33.2,8.1,2.7,1.9
Daniel Oturu\oturuda01,21,1,4.2,2,1.4,0.4
Reggie Perry\perryre01,20,1,10.5,3.6,3.6,0.9
Aleksej Pokusevski\pokusal01,19,1,17.4,3.3,3.5,1.2
Payton Pritchard\pritcpa01,23,1,21.4,7.7,2.3,2.3
Immanuel Quickley\quickim01,21,1,18.8,12.2,2.3,2.4
Jahmi'us Ramsey\ramseja01,19,1,4,1.3,1,0.3
Paul Reed\reedpa01,21,1,11,3.6,2,0.6
Nick Richards\richani01,23,1,2.9,1.4,0.8,0
Deividas Sirvydis\sirvyde01,20,1,1.6,0.2,0.2,0.2
Jalen Smith\smithja04,20,1,5.2,1.5,1,0.2
Cassius Stanley\stanlca01,21,1,2.9,1.1,0.4,0
Lamar Stevens\stevela01,23,1,14.4,4.2,2.6,1
Isaiah Stewart\stewais01,19,1,18.4,5.4,5.8,0.7
Jae'Sean Tate\tateja01,25,1,27.4,9.9,5.3,1.7
Tyrell Terry\terryty01,20,1,5.1,1,0.5,0.5
Brodric Thomas\thomabr01,24,1,6,2.5,1,1
Killian Tillie\tilliki02,22,1,10.5,1.5,1,0
Xavier Tillman\tillmxa01,22,1,20.4,7,4.6,1.7
Obi Toppin\toppiob01,22,1,12.7,4.7,2.5,0.6
Devin Vassell\vassede01,20,1,17.3,5.5,3.2,1.1
Greg Whittington\whittgr01,27,1,4,0,0,0
Patrick Williams\willipa01,19,1,28.5,10.2,4.8,1.2
Dylan Windler\windldy01,24,1,19,6.3,4.1,1.3
Cassius Winston\winstca01,22,1,7.3,2.2,0.7,1
James Wiseman\wisemja01,19,1,20.8,11.8,5.9,0.7
Robert Woodard\woodaro01,21,1,2.8,2.2,1.3,0
