Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Precious Achiuwa\achiupr01,PF,21,MIA,35,491,,,,54%,47%,-4.6,-4.5,12,12,31,7,43,6,53,7,20
2,Jaylen Adams\adamsja01,PG,24,MIL,7,18,97%,3%,,,,-38.3,-44.8,0,0,1,0,0,0,5,0,0
3,Steven Adams\adamsst01,C,27,NOP,33,918,,,,,100%,0.3,1.9,19,16,27,11,35,4,157,5,14
4,Bam Adebayo\adebaba01,C,23,MIA,33,1119,,,,51%,49%,-0.4,2.7,44,28,31,19,71,4,452,20,16
5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,544,,,,3%,98%,-6.5,-10.2,9,3,26,6,18,0,90,2,7
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,3,8,,,100%,,,-60.0,-67.0,0,0,0,0,0,0,2,0,0
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,28,495,3%,80%,17%,,,-3.5,-4.1,20,6,24,2,17,3,123,6,11
8,Grayson Allen\allengr01,SG,25,MEM,23,551,3%,84%,13%,,,2.7,2.5,15,2,15,2,9,5,116,1,10
9,Jarrett Allen\allenja01,C,22,TOT,35,977,,,,9%,91%,-0.7,0.2,23,14,40,8,72,9,146,18,20
9,Jarrett Allen\allenja01,C,22,BRK,12,320,,,,,100%,10.5,6.4,10,5,13,5,31,3,49,9,6
9,Jarrett Allen\allenja01,C,22,CLE,23,657,,,,13%,87%,-6.4,1.4,13,9,27,3,41,6,97,9,14
10,Al-Farouq Aminu\aminual01,PF,30,ORL,9,163,,,,100%,,-18.3,-13.2,5,2,3,1,6,0,36,3,2
11,Kyle Anderson\anderky01,PF,27,MEM,30,829,,,,72%,28%,2.0,1.9,25,10,29,5,39,3,238,8,17
12,Giannis Antetokounmpo\antetgi01,PF,26,MIL,35,1189,,,2%,91%,7%,8.8,9.3,44,30,33,29,186,4,539,47,37
13,Kostas Antetokounmpo\antetko01,PF,23,LAL,3,19,,,,,100%,-6.8,-11.9,1,1,1,1,1,0,0,0,2
14,Thanasis Antetokounmpo\antetth01,SF,28,MIL,26,227,,8%,68%,24%,,-6.0,-13.8,6,5,15,5,5,7,46,1,0
15,Carmelo Anthony\anthoca01,PF,36,POR,34,870,,,,74%,26%,-5.3,-10.0,9,8,30,17,41,2,125,7,11
16,Cole Anthony\anthoco01,PG,20,ORL,25,667,92%,8%,,,,-7.3,-1.6,29,17,21,4,22,8,226,5,25
17,OG Anunoby\anunoog01,SF,23,TOR,23,769,,1%,64%,34%,1%,3.6,4.0,12,10,30,10,21,4,97,4,16
18,Ryan Arcidiacono\arcidry01,PG,26,CHI,18,198,100%,,,,,10.3,11.9,2,1,9,1,5,10,53,3,0
19,D.J. Augustin\augusdj01,PG,33,MIL,34,664,100%,,,,,4.9,-1.8,16,9,8,2,10,6,242,2,15
20,Deni Avdija\avdijde01,SF,20,WAS,30,646,,1%,79%,20%,,-2.3,3.4,12,5,46,2,7,2,89,2,6
21,Deandre Ayton\aytonde01,C,22,PHO,35,1088,,,,17%,83%,4.8,-5.2,8,25,71,17,50,1,143,17,25
22,Udoka Azubuike\azubuud01,C,21,UTA,12,49,,,,,100%,-54.8,-65.5,1,0,6,1,3,0,0,0,1
23,Dwayne Bacon\bacondw01,SG,25,ORL,36,886,1%,52%,47%,,,-10.8,-9.2,13,5,21,2,37,3,87,12,18
24,Marvin Bagley III\baglema01,PF,21,SAC,34,888,,,,64%,36%,-6.2,-1.3,7,17,46,13,52,18,82,10,36
25,LaMelo Ball\ballla01,PG,19,CHO,35,1010,69%,31%,,,,-2.7,-4.9,71,16,29,4,43,5,522,14,20
26,Lonzo Ball\balllo01,PG,23,NOP,33,1048,97%,3%,,,,1.3,4.7,44,9,28,8,18,4,381,4,11
27,Mo Bamba\bambamo01,C,22,ORL,17,161,,,,2%,98%,-5.6,0.7,1,5,17,1,4,1,10,2,5
28,Desmond Bane\banede01,SG,22,MEM,28,639,2%,44%,46%,8%,,3.3,3.7,14,5,25,2,10,1,96,5,12
29,Harrison Barnes\barneha02,PF,28,SAC,33,1179,,,49%,50%,1%,-2.9,8.3,22,19,24,4,63,9,297,16,21
30,RJ Barrett\barrerj01,SG,20,NYK,37,1227,2%,78%,20%,,,1.7,3.4,39,17,40,9,66,6,257,12,45
31,Will Barton\bartowi01,SF,30,DEN,33,986,,20%,67%,14%,,4.2,-1.6,29,19,27,4,17,5,236,6,23
32,Keita Bates-Diop\bateske01,SF,25,SAS,13,107,,23%,74%,3%,1%,-13.6,-14.8,0,0,2,0,4,0,16,0,6
33,Nicolas Batum\batumni01,SF,32,LAC,35,1031,,,10%,89%,1%,8.8,6.9,20,3,28,2,16,6,198,4,3
34,Aron Baynes\baynear01,C,34,TOR,33,649,,,,,100%,-3.8,-8.1,5,9,42,11,12,10,86,2,9
35,Kent Bazemore\bazemke01,SF,31,GSW,35,587,,29%,53%,17%,1%,9.0,12.7,21,7,34,3,14,10,133,4,8
36,Darius Bazley\bazleda01,PF,20,OKC,36,1104,,,7%,89%,4%,-8.8,-8.1,24,26,17,6,40,3,131,7,25
37,Bradley Beal\bealbr01,SG,27,WAS,32,1143,2%,85%,14%,,,-4.7,-0.9,44,44,43,9,117,9,354,35,30
38,Malik Beasley\beaslma01,SG,24,MIN,33,1093,,91%,9%,,,-5.8,8.5,17,23,26,6,35,3,196,11,23
39,Jordan Bell\belljo01,C,26,WAS,3,50,,,,59%,42%,-37.9,-34.4,1,1,3,0,0,1,12,0,2
40,DeAndre' Bembry\bembrde01,SF,26,TOR,27,443,1%,23%,73%,4%,,1.4,0.2,15,9,16,0,11,4,130,2,8
41,Dāvis Bertāns\bertada01,PF,28,WAS,30,783,,,,94%,6%,-1.2,6.3,8,4,28,6,17,7,66,5,5
42,Patrick Beverley\beverpa01,PG,32,LAC,28,678,80%,20%,,,,12.3,10.1,15,1,34,7,11,11,144,1,6
43,Saddiq Bey\beysa01,SF,21,DET,34,778,,7%,78%,15%,,-5.1,-2.2,9,2,23,3,26,2,97,4,9
44,Tyler Bey\beyty01,SF,22,DAL,4,13,,,,26%,74%,-62.1,-62.1,0,0,1,0,2,1,0,0,0
45,Khem Birch\birchkh01,C,28,ORL,35,703,,,,50%,50%,-5.8,0.9,3,8,32,5,34,5,93,6,14
46,Goga Bitadze\bitadgo01,C,21,IND,16,148,,,,,100%,1.6,1.4,1,0,14,3,5,0,10,1,2
47,Bismack Biyombo\biyombi01,C,28,CHO,33,736,,,,,100%,-5.1,-7.7,9,4,41,11,27,1,105,7,22
48,Nemanja Bjelica\bjeline01,PF,32,SAC,19,342,,,,87%,13%,-6.7,-1.4,8,7,11,6,15,0,100,5,6
49,Eric Bledsoe\bledser01,SG,31,NOP,35,1038,30%,70%,,,,-2.7,-5.4,36,9,29,6,36,11,314,7,10
50,Keljin Blevins\blevike01,SF,25,POR,9,47,17%,54%,29%,,,-5.9,-5.5,2,0,3,0,0,0,10,0,2
