,Team,Predicted Wins
0,Utah Jazz,67
1,Milwaukee Bucks,58
2,Phoenix Suns,55
3,Los Angeles Clippers,54
4,Los Angeles Lakers,53
5,Brooklyn Nets,50
6,Denver Nuggets,50
7,Philadelphia 76ers,46
8,Toronto Raptors,45
9,Golden State Warriors,43
10,Indiana Pacers,42
11,Boston Celtics,41
12,Dallas Mavericks,40
13,Memphis Grizzlies,41
14,Atlanta Hawks,40
15,New Orleans Pelicans,40
16,New York Knicks,40
17,San Antonio Spurs,37
18,Miami Heat,37
19,Charlotte Hornets,37
20,Chicago Bulls,37
21,Portland Trail Blazers,35
22,Detroit Pistons,30
23,Washington Wizards,27
24,Sacramento Kings,26
25,Oklahoma City Thunder,26
26,Houston Rockets,25
27,Orlando Magic,20
28,Cleveland Cavaliers,20
29,Minnesota Timberwolves,19
