Team1,Arena,Latitude,Longitude
Atlanta Hawks,State Farm Arena,33.757,-84.40
Boston Celtics,TD Garden,42.366,-71.06
Brooklyn Nets,Barclays Center,40.683,-73.98
Charlotte Hornets,Spectrum Center,35.225,-80.84
Chicago Bulls,United Center,41.881,-87.68
Cleveland Cavaliers,Quicken Loans Arena,41.497,-81.69
Dallas Mavericks,American Airlines Center,32.791,-96.81
Denver Nuggets,Pepsi Center,39.749,-105.01
Detroit Pistons,Little Caesars Arena,42.341,-83.06
Golden State Warriors,Oracle Arena,37.75,-122.20
Houston Rockets,Toyota Center,29.751,-95.36
Indiana Pacers,Bankers Life Fieldhouse,39.764,-86.16
Los Angeles Clippers,Staples Center,34.043,-118.27
Los Angeles Clippers,Staples Center,34.043,-118.27
Memphis Grizzlies,FedExForum,35.156,-90.05
Miami Heat,American Airlines Arena,25.781,-80.19
Milwaukee Bucks,Fiserv Forum,43.045,-87.92
Minnesota Timberwolves,Target Center,44.98,-93.28
New Orleans Pelicans,Smoothie King Center,29.949,-90.08
New York Knicks,Madison Square Garden,40.751,-73.99
Oklahoma City Thunder,Chesapeake Energy Arena,35.463,-97.52
Orlando Magic,Amway Center,28.539,-81.38
Philadelphia 76ers,Wells Fargo Center,39.901,-75.17
Phoenix Suns,Talking Stick Resort Arena,33.446,-112.07
Portland Trail Blazers,Moda Center,45.532,-122.67
Sacramento Kings,Golden 1 Center,38.58,-121.50
San Antonio Spurs,AT&T Center,29.427,-98.44
Toronto Raptors,Scotiabank Arena,43.644,-79.38
Utah Jazz,Vivint Smart Home Arena,40.768,-111.90
Washington Wizards,Capital One Arena,38.898,-77.02
